entity:sample_id	hg38_sampleMeanCoverage
BC-P-145-P2-F8_L_173092	1.45
BC-P-146-P2-G8_L_173093	1.48
BC-P-147-P2-H8_L_173094	1.22
BC-P-148-P2-B9_L_173096	1.24
BC-P-149-P2-C9_L_173097	1.25
BC-P-150-P2-D9_L_173098	1.35
BC-P-151-P2-E9_L_173099	1.27
BC-P-152-P2-F9_L_173100	1.32
BC-P-153-P2-G9_L_173101	1.21
BC-P-154-P2-H9_L_173102	1.36
BC-P-155-P2-A10_L_173103	1.32
BC-P-156-P2-B10_L_173104	1.2
BC-P-157-P2-C10_L_173105	1.33
BC-P-158-P2-D10_L_173106	1.17
BC-P-159-P2-E10_L_173107	1.35
BC-P-160-P2-F10_L_173108	1.38
BC-P-161-P2-G10_L_173109	1.4
BC-P-162-P2-H10_L_173110	1.29
BC-P-163-P2-B11_L_173112	1.27
BC-P-164-P2-C11_L_173113	1.19
BC-P-165-P2-D11_L_173114	1.29
BC-P-166-P2-E11_L_173115	1.34
BC-P-167-P2-F11_L_173116	1.37
BC-P-168-P2-G11_L_173117	1.32
BC-P-169-P2-H11_L_173118	1.41
BC-P-170-P2-A12_L_173119	1.28
BC-P-171-P2-B12_L_173120	1.26
BC-P-172-P2-C12_L_173121	1.29
BC-P-173-P2-D12_L_173122	1.29
BC-P-174-P2-E12_L_173123	1.22
BC-P-175-P2-F12_L_173124	1.24
BC-P-176-P2-G12_L_173125	1.36
BC-P-177-P3-B1_L_173128	1.29
BC-P-178-P3-C1_L_173129	1.25
BC-P-179-P3-D1_L_173130	1.4
BC-P-180-P3-E1_L_173131	1.32
BC-P-181-P3-F1_L_173132	1.29
BC-P-182-P3-G1_L_173133	1.28
BC-P-183-P3-A2_L_173135	1.2
BC-P-184-P3-B2_L_173136	1.25
BC-P-185-P3-C2_L_173137	1.36
BC-P-186-P3-D2_L_173138	1.24
BC-P-187-P3-E2_L_173139	1.28
BC-P-188-P3-F2_L_173140	1.32
BC-P-189-P3-G2_L_173141	1.41
BC-P-190-P3-H2_L_173142	1.55
BC-P-191-P3-B3_L_173144	1.27
BC-P-192-P3-C3_L_173145	1.32
BC-P-193-P3-D3_L_173146	1.33
BC-P-194-P3-E3_L_173147	1.28
BC-P-195-P3-F3_L_173148	1.27
BC-P-196-P3-G3_L_173149	1.25
BC-P-197-P3-H3_L_173150	1.19
BC-P-198-P3-A4_L_173151	1.19
BC-P-199-P3-B4_L_173152	1.38
BC-P-200-P3-C4_L_173153	1.3
BC-P-201-P3-D4_L_173154	1.43
BC-P-202-P3-E4_L_173155	1.3
BC-P-203-P3-F4_L_173156	1.44
BC-P-204-P3-G4_L_173157	1.25
BC-P-205-P3-H4_L_173158	1.07
BC-P-206-P3-B5_L_173160	1.47
BC-P-207-P3-C5_L_173161	1.34
BC-P-208-P3-D5_L_173162	1.29
BC-P-209-P3-E5_L_173163	1.27
BC-P-210-P3-F5_L_173164	1.33
BC-P-211-P3-G5_L_173165	1.31
BC-P-212-P3-H5_L_173166	1.18
BC-P-213-P3-A6_L_173167	1.32
BC-P-214-P3-B6_L_173168	1.23
BC-P-215-P3-C6_L_173169	1.3
BC-P-216-P3-D6_L_173170	1.34
BC-P-217-P3-E6_L_173171	1.17
BC-P-218-P3-F6_L_173172	1.29
BC-P-219-P3-G6_L_173173	1.27
BC-P-220-P3-H6_L_173174	1.09
BC-P-221-P3-B7_L_173176	1.31
BC-P-222-P3-C7_L_173177	1.21
BC-P-223-P3-D7_L_173178	1.25
BC-P-224-P3-E7_L_173179	1.31
BC-P-225-P3-F7_L_173180	1.31
BC-P-226-P3-G7_L_173181	1.13
BC-P-227-P3-H7_L_173182	1.23
BC-P-228-P3-A8_L_173183	1.29
BC-P-229-P3-B8_L_173184	1.35
BC-P-230-P3-C8_L_173185	1.34
BC-P-231-P3-D8_L_173186	1.3
BC-P-232-P3-E8_L_173187	1.36
BC-P-233-P3-F8_L_173188	1.27
BC-P-234-P3-G8_L_173189	1.38
BC-P-235-P3-H8_L_173190	1.31
BC-P-236-P3-B9_L_173192	1.37
BC-P-237-P3-C9_L_173193	1.4
BC-P-238-P3-D9_L_173194	1.29
BC-P-239-P3-E9_L_173195	1.24
BC-P-240-P3-F9_L_173196	1.14
